bug_id,creation_date,component_name,product_name,short_description,long_description,assignee_name,reporter_name,resolution_category,resolution_code,status_category,status_code,update_date,quantity_of_votes,quantity_of_comments,resolution_date,bug_fix_time,severity_category,severity_code
FREEDESKTOP.ORG-24230,2009-09-30,New Accounts,FREEDESKTOP.ORG,New account request for mesa/r300/r600 development,"Created attachment 29953
ssh-pub

Would like to help with development of these drivers.

Name: Andre Maasikas
Email: amaasikas@gmail.com
preferred account: andrem",sitewranglers,amaasikas,fixed,1,resolved,4,2009-09-30,0,4,2009-09-30,0,normal,2
XORG-2056,2004-12-12,Documentation,XORG,XChangeProperty prototype missing from manual page,"The manual page for XChangeProperty lists several functions at once but
one formatted the XChangeProperty() prototype is missing from the 
synopsis section.",xorg-team,matthieu.herrb,fixed,1,resolved,4,2004-12-14,0,5,2004-12-14,2,normal,2
XORG-79994,2014-06-13,Driver/intel,XORG,intel-virtual-output: fatal IO error 9 when external display is enabled,"Created attachment 100992
i-v-o debug output

Greetings.

I'm using today's git of xf86-video-intel (but the same can be observed on 2.99.912). xorg-server-1.15.0. Gentoo Linux. Thinkpad W520 (SNB) with Nvidia Quadro 2000M (handled via bumblebee).


I'm trying to get i-v-o to work. I can start the second X server on the discrete GPU and have it enable the external display. It is disabled again when I start i-v-o. so far so good.

Main X is on :0 and the secondary X on :8.

I now go ahead and enable the virtual output on :0
$ xrandr --output VIRTUAL1 --auto --right-of LVDS1

As soon as I do that i-v-o crashes with:
XIO:  fatal IO error 9 (Bad file descriptor) on X server :0.0

Also see the attached log. There is nothing suspicious in either X's logfiles. If you need any additional logs let me know.

What's going on here? How can I help?",chris,main.haarp,fixed,1,resolved,4,2014-06-13,0,10,2014-06-13,0,normal,2
LIBREOFFICE-45271,2012-01-26,Writer,LIBREOFFICE,: The way Writer counting Chinese words is not correct,"Problem description: 

The way of counting Chinese words in the word count function of Libreoffice is not suitable (and even useless) to Chinese speakers.  

In Chinese we count character instead of word. For example 蘋果 (a.k.a. apple) is a word with two characters. In fact the meaning of word in Chinese equals the meaning of character in English.  

Therefore the following word count should be three words:
 蘋果  apple

But the current behavior of word count would show two words because it counts 蘋果 as one word while it should be counted as two words in Chinese.

This is a longstanding bug for Chinese speakers.



 

 
              
Browser: Mozilla/5.0 (X11 Ubuntu Linux x86_64 rv:10.0) Gecko/20100101 Firefox/10.0",caolanm,blackjay,fixed,1,closed,6,2012-04-05,0,4,2012-04-05,70,major,4
POLICYKIT-83093,2014-08-26,daemon,POLICYKIT,[patch] pkexec parameter parsing memory leak,"Google's Project Zero has developed an exploit for a glibc vulnerability:
http://googleprojectzero.blogspot.de/2014/08/the-poisoned-nul-byte-2014-edition.html

Part of that exploit is abusing a memory leak in pkexec's parameter handling. While not in itself a security vulnerability this memory leak makes exploiting other bugs easier.

This is the code in question in pkexec.c (starting line 543):
      else if (strcmp (argv[n] --user) == 0 || strcmp (argv[n] -u) == 0)
        {
          n++
          if (n >= (guint) argc)
            {
              usage (argc argv)
              goto out
            }

          opt_user = g_strdup (argv[n])
        }

If multiple -u arguments are set opt_user gets set multiple times overwriting (and thus leaking) pointers of previous results.",zeuthen,hanno,fixed,1,resolved,4,2014-08-27,0,6,2014-08-27,1,normal,2
PKG-CONFIG-32379,2010-12-14,src,PKG-CONFIG,c99ism in v0.25,"Version 0.25 of pkg-config does not build on NetBSD 1.5 (that's gcc 2.9x) because of a {c++c99}ism - c89 wants declarations at the beginning of a block only.

The following patch fixes the problem:


--- parse.c.orig        2010-05-27 20:21:36.000000000 +0000
+++ parse.c
@@ -8808 +88010 @@ parse_cflags (Package *pkg const char *
             pkg->other_cflags = g_slist_prepend (pkg->other_cflags
                                                  g_strdup (arg))
          if (strcmp(-idirafter arg) == 0) {
+             char *n
+                 
               tmp = trim_string(argv[++i])
-             char *n = strdup_escape_shell(tmp)
+             n = strdup_escape_shell(tmp)
              pkg->other_cflags = g_slist_prepend(pkg->other_cflags n)
              g_free(tmp)
          }
",tfheen,hauke,fixed,1,resolved,4,2011-04-13,0,2,2011-04-13,120,normal,2
MESA-86357,2014-11-16,Drivers/Gallium/radeonsi,MESA,[RadeonSI] GPU lockup with mesa 10.3.3 / kernel 3.17.2,"Created attachment 109569
journalctl crash info contains both dmesg and Xorg logs

After a recent update of my Fedora 21 box I've experienced this crash twice. The entire desktop except for mouse freezes and I cannot even VT switch to console. If the keypress gets registered I end up with a powered down display and a switch back to X results in a completely corrupted screen. If I don't try a VT switch I can still move the mouse but other than that the machine appears dead. It eventually stops responding to ping and the only way out is a hard reboot.

I have been using this machine for quite a while and I haven't experienced this before until yesterday. I checked the yum logs but there doesn't seem to be anything directly related to the graphics except maybe for this:

Updated     xkeyboard-config-2.13-2.fc21.noarch                      @updates-testing
    Update                       2.13-3.fc21.noarch                      @updates-testing
    Updated     xorg-x11-font-utils-1:7.5-23.fc21.x86_64                 @updates-testing
    Update                          1:7.5-25.fc21.x86_64                 @updates-testing
    Updated     xorg-x11-fonts-Type1-7.5-11.fc21.noarch                  @updates-testing
    Update                           7.5-14.fc21.noarch                  @updates-testing
    Updated     xorg-x11-server-utils-7.7-9.fc21.x86_64                  @updates-testing
    Update                            7.7-10.fc21.x86_64                 @updates-testing
    Updated     xorg-x11-xkb-utils-7.7-10.fc21.x86_64                    @fedora


Relevant packages installed:

xorg-x11-drv-ati - 7.5.0-1.fc21
xorg-x11-server-Xorg.x86_64 - 1.16.1-1.fc21
kernel.x86_64 - 3.17.2-300.fc21
Custom-built mesa 10.3.3 with Fix v5 from BUG 60879 applied

My card is a 7730 LE PID:VID 1002:aab0

X and kernel apparently caught and logged the problem relevant journalctl output is attached. It usually takes a few hours for this to happen the only thing the two crashes I've had so far have in common is a Flash video playing in the background when the system froze.",dri-devel,madcatx,fixed,1,resolved,4,2015-08-02,0,7,2015-08-02,259,normal,2
POPPLER-75241,2014-02-20,utils,POPPLER,pdftops 0.25.1 -eps -level1sep creates an invalid EPS when tiling with a bitmap,"pdftops -eps -level1sep creates an invalid EPS for the attached PDF.
I have a section of the generated EPS below.
ghostscript gets a /limitcheck in the first few bytes of the pdfIm1Sep data.
I think that PSOutputDev::tilingPatternFillL1() is generating the font as a way to implement tiling patterns in Level 1.
This might have to be a case where pdftops has to rasterize in PSOutputDev::checkPageSlice().
Maybe PreScanOutputDev::tilingPatternFill() needs to do more testing that the tiled image is not an image mask.
The tiling that causes the problem has painttype 1 tilingtype 1.
Changing the call in PreScanOutputDev::tilingPatternFill() to
  gfx->drawForm(str resDict mat bbox gFalse gTrue)
(to set softMask to true) fixes this file but causes other files to be rasterized unnecessarily.
William

346.332397 107.800697 343.208099 110.819 339.473389 113.085899 c
335.411713 115.526199 l
338.945007 122.620796 l
h
W*
8 dict begin
/FontType 3 def
/FontMatrix [1 0 0 1 0 0] def
/FontBBox [0 0 141.7323 141.7323] def
/Encoding 256 array def
  0 1 255 { Encoding exch /.notdef put } for
  Encoding 120 /x put
/BuildGlyph {
  exch /CharProcs get exch
  2 copy known not { pop /.notdef } if
  get exec
} bind def
/BuildChar {
  1 index /Encoding get exch get
  1 index /BuildGlyph get exec
} bind def
/CharProcs 1 dict def
CharProcs begin
/x {
141.7323 0 setcharwidth
q
[141.732574 0 0 141.732574 0 0.000003] cm
268 268 8 [268 0 0 -268 0 268] pdfIm1Sep
32323b373b38393c3d3d3b3b342a2d2737383232313831383c3b3c3830323232
32321d3c383233383830383037363e323b323339323d3833343a323237363b30
30353b3a34311d25252b3737373232312b383c3a31383d38251332323d1c3531
323c3b342d233d282c32323135313c373230372e2532371832383c3c303b3a33
...
7376766b5f220b0b0707125e5e3261610327080e7676767660666d64603f4e07
Q
} def
end
currentdict end
/xpdfTile0 exch definefont pop
/xpdfTile0 findfont setfont
fCol
gsave [0.45376 0 0 0.42696 335 76] concat
0 1 1 { 0 exch 141.7323 mul m 0 1 1 { pop (x) show } for } for  
grestore
Q",poppler-bugs,williambader,fixed,1,resolved,4,2014-03-15,0,6,2014-03-15,23,normal,2
XORG-2701,2005-03-11,Driver/intel,XORG,Switch to console or other session changes resolution,"Using the current CVS sources for the i810 driver results in another resolution
than the initial resolution (when Xserver starts) after switching to the text
console and back. I'll attach a logfile and the Xserver output during after
switching to text console and back.",alanh,sndirsch,fixed,1,closed,6,2005-03-14,0,48,2005-03-15,4,normal,2
XORG-15083,2008-03-16,App/other,XORG,xorg/app/xfontsel - Compile warning fixes,"Created attachment 15214
0001-Compile-warning-fixes.patch

Ansify functions with K&R prototypes.
  Adjust some definitions to match required prototypes.
  Declare as static some functions to avoid warnings about missing prototypes.",xorg-team,pcpa,fixed,1,resolved,4,2008-11-27,0,2,2008-11-27,256,normal,2
POPPLER-6199,2006-03-10,glib frontend,POPPLER,mem leak in font properties,font_info struct is not freed in poppler_font_info_free (glib/poppler-document.cc),poppler-bugs,carlosgc,fixed,1,resolved,4,2006-03-20,0,3,2006-03-21,11,normal,2
XORG-21214,2009-04-15,Input/synaptics,XORG,The synaptics edge scrolling defaults are too small,"For some touchpads (notably alps) the default edge width is too small to provide reliable scrolling.

https://bugzilla.redhat.com/show_bug.cgi?id=494766

The current approach of calculating the edges according to the synaptics interface guidelines and amount to roughly 4% of the total usable area.

This seems to be fine (from a subjective POV) for a Synaptics touchpad but too small for alps (which has a different range).

Users in Fedora bug 494766 state that a RightEdge of 890 900 or (maximum) 950 is needed to be usable. The default from the calculation is 983.

We should probably adjust the default edge range to make it just work on most setups.",peter.hutterer,peter.hutterer,fixed,1,resolved,4,2009-05-04,0,6,2009-05-04,19,normal,2
