bug_id,creation_date,component_name,product_name,short_description,long_description,assignee_name,reporter_name,resolution_category,resolution_code,status_category,status_code,update_date,quantity_of_votes,quantity_of_comments,resolution_date,bug_fix_time,severity_category,severity_code
BUGZILLA-294734,2005-05-18,Bugzilla-General,BUGZILLA,Emergency 2.16.10 Release,"2.16.9 is broken -- many users can't enter bugs on it particularly not from a
fresh install. So we need to pull 2.16.9 and post a 2.16.10 instead.",mkanat,mkanat,fixed,1,resolved,4,2005-05-19,0,15,2005-05-19,1,blocker,6
OTHER_APPLICATIONS-363323,2006-12-09,DOM Inspector,OTHER_APPLICATIONS,DOM View is really inefficient with setting what is to be shown,"From comment in url:

Current code:
menuitem -> command -> toggler -> setter -> pref -> observer -> setter -> pref
Proposed code:
menuitem -> command -> toggler -> pref -> observer -> setter

arguably we should rebuild() in the observer too.",sdwilsh,sdwilsh,fixed,1,resolved,4,2011-06-01,0,8,2007-01-14,36,normal,2
SUPPORT.MOZILLA.ORG-398246,2007-10-02,General,SUPPORT.MOZILLA.ORG,Add support for custom cookies and cache headers,"Adding support for custom headers and cookie names involves two steps:
* making session names configurable
* disabling auto-start for sessions

This can be accomplished in tiki-setup_base.php though it means in turn that all pages dependent on the hard-coded PHPSESSID cookie along with the basic session handler all need to be refactored to not assume there is a pre-existing session.

I'm looking at re-implementing some session libs I have from before.  Should do the trick.

This is a chicken/egg problem since we want to use non-default cookie names for NS rules.  We can't have the app auto-setting the cookie while simultaneously passing cache headers.  We need to separate the behavior so it's consistent and predictable for the proxy cache.

ETA is Thurs.  This affect performance and for a couple of reasons it blocks bug 398239.",morgamic,morgamic,fixed,1,resolved,4,2009-11-02,0,23,2008-03-24,174,blocker,6
RELEASE_ENGINEERING-525991,2009-11-02,General,RELEASE_ENGINEERING,Create Major Update from 3.0.15 to 3.5.5,,catlee,catlee,fixed,1,resolved,4,2013-08-12,0,7,2009-11-10,8,normal,2
OTHER_APPLICATIONS-318859,2005-12-02,ChatZilla,OTHER_APPLICATIONS,DCC functionality in ChatZilla isn't functional.,"User-Agent:       Mozilla/5.0 (Macintosh U PPC Mac OS X Mach-O en-US rv:1.9a1) Gecko/20051121 SeaMonkey/1.5a
Build Identifier: Mozilla/5.0 (Macintosh U PPC Mac OS X Mach-O en-US rv:1.9a1) Gecko/20051121 SeaMonkey/1.5a

No ports have been specified in the Preferences pane.

+++++

DCC receive:

[18:54:19]	sid^^	DCC Send Baby Seal face.jpg (12.39.92.135)

/dcc-accept sid^^

[18:54:22]	[INFO]	0 pending incoming DCC offers matched.
[18:54:22]	[INFO]	You must specify enough of the user's nickname to uniquely identify the request or include the request type and even the filename if necessary.

+++++

/dcc-send sid^^

{File browser comes up. Select a small .jpg.}

[ERROR]	Internal error dispatching command “dcc-send”.
[ERROR]	TypeError: setting a property that has only a getter @  2562

+++++

/dcc-chat sid^^
[19:02:06]	[DCC]	Sent DCC Chat offer to “sid^^” from YOU (67.186.207.96:55938) [Cancel].

[19:05:06][DCC]	Aborted DCC Chat with “sid^^” (67.186.207.96:55938).

+++

The FAQ (http://www.hacksrus.com/~ginda/chatzilla/faq/chatzilla-faq.html Section 2.9) doesn't give any information about setting ports for DCC or troubleshooting. If you have anything you want me to check let me know. Next week I will have a chance to test through a different ISP.



Reproducible: Always

Steps to Reproduce:
1. Perform any dcc function.

Actual Results:  
Note that the function fails.

Expected Results:  
Sends receives and chats should connect.",gijskruitbosch+bugs,dafydd,fixed,1,resolved,4,2006-02-10,0,14,2005-12-07,5,normal,2
DEVELOPER.MOZILLA.ORG-416840,2008-02-11,General,DEVELOPER.MOZILLA.ORG,Fix  and  cruft,"Since we removed the breadcrumbs and title-override extensions from developer.mozilla.org many pages now actually show

 

or

 JS_LookupProperty

The new wiki will fix this for the short term let's make the extensions emit nothing.",nobody,jorendorff,fixed,1,resolved,4,2012-09-18,0,4,2008-02-12,1,normal,2
MARKETPLACE_GRAVEYARD-977729,2014-02-27,Reviewer Tools,MARKETPLACE_GRAVEYARD,add a waffle to disable the theme queue,This is a pretty private URL so literally putting a 403 or message here is fine.  This is a quick/simple thing.,kngo,wclouser,fixed,1,resolved,4,2014-03-26,0,2,2014-03-13,14,normal,2
THUNDERBIRD-339875,2006-05-31,Build Config,THUNDERBIRD,ship ga-IE for 1.5.0.5,the ga-IE locale for Thunderbird 1.5 has owner signoff and is now ready to be released. We want to allow time to smoketest the builds before we release them so I'm filing this bug to keep track of this for the next scheduled stability update 1.5.0.5.,rhelmer,mscott,fixed,1,resolved,4,2006-07-19,0,12,2006-06-26,26,normal,2
FIREFOX-420556,2008-03-02,Theme,FIREFOX,sidebarheader on GNOME has a transparent background,"Created attachment 306847
patch v1: fixes problem

The sidebar header on GNOME has a transparent background because its -moz-appearance: toolbox rule overrides its background-color: -moz-Dialog rule which causes problems for theming engines like Personas that expect the header to have an explicit background color as it does on Mac and Windows.

The -moz-appearance rule also overrides rules specifying top and bottom borders and it's unclear why there are these contradictory rules but the rules are the same as in winstripe where -moz-appearance does not override the other rules so perhaps they were simply copied from Windows to Linux verbatim.

In that case the intent would have been for the header to have the specified background color -moz-Dialog which we can do by simply removing the -moz-appearance.  Nevertheless that also causes the explicit border rules to be applied and I looked at three other GNOME apps with sidebars (Totem gThumb and Evolution) and none of them give their sidebar headers borders (although Evolution gives it a different background color).

Plus borders look funky with the native GTK splitter which is borderless.  So I think the header should remain borderless while fixing the background color issue which we can do by removing both the -moz-appearance rule and the top and bottom border rules.

Here's a patch that does that.

Note: there are other things I noticed while investigating this issue like that we use a widget (sidebarheader) with no XBL binding that we put its styles in toolkit/ instead of browser/ on Linux and Windows (it's in browser/ on Mac although there's at least one funky rule there as well) and that we pad the header label by four pixels on the left which causes it to be misaligned with text in the sidebar itself (f.e. the Search label in the Bookmarks sidebar).

But I'll file those as separate bugs.

Requesting wanted-firefox3 for this theme polish fix that has implications for extensibility.",myk,myk,fixed,1,resolved,4,2008-03-12,0,6,2008-03-05,3,normal,2
MOZILLA_LOCALIZATIONS-415621,2008-02-04,mk / Macedonian,MOZILLA_LOCALIZATIONS,Firefox 3 mk release tracker,"This is a tracker bug for releasing Firefox 3 mk.

This bug is not that detailed but as we get particular work items they should block this bug for tracking and better discoverability.",nobody,l10n,fixed,1,resolved,4,2008-07-15,0,2,2008-07-15,162,normal,2
