bug_id,creation_date,product_name,component_name,environment,severity_rating,priority,target_role,escalation_level,confidence_score
RECOMMENDERS-467951,22/05/2015,Other,Core,unknown,2,low,Backend Developer,Standard queue,0.6367346861160394
EQUINOX-530069,20/01/2018,EQUINOX,Compendium,unknown,2,low,Software Developer,Standard queue,0.45267703633598977
NATTABLE-422482,25/11/2013,Other,Core,unknown,2,low,Backend Developer,Standard queue,0.4557367824858368
WTP_JAVA_EE_TOOLS-116294,14/11/2005,WTP_JAVA_EE_TOOLS,jst.j2ee,unknown,3,low,Systems Developer,Same-day review,0.9586120215888783
PDT-165702,23/11/2006,PDT,Code Assist,unknown,2,low,Software Developer,Standard queue,0.48491069889498506
WTP_SOURCE_EDITING-103608,13/07/2005,WTP_SOURCE_EDITING,wst.html,unknown,1,low,Frontend Developer,Standard queue,0.7340223819550046
JDT-84477,04/02/2005,JDT,UI,unknown,2,low,Frontend Developer,Standard queue,0.731067862159555
BIRT-236012,06/06/2008,BIRT,Report Engine,unknown,2,low,Software Developer,Standard queue,0.4892395568364247
SUBVERSIVE-264685,12/02/2009,Other,UI,unknown,1,low,Frontend Developer,Standard queue,0.4962255182275193
PDE-136135,11/04/2006,PDE,UI,unknown,3,low,Frontend Developer,Same-day review,0.4837913453981323
COMMUNITY-500202,24/08/2016,COMMUNITY,Marketplace,unknown,2,low,Software Developer,Standard queue,0.48575547374757944
PDT-310759,28/04/2010,PDT,Code Assist,unknown,2,low,Software Developer,Standard queue,0.48262194621266175
ECF-193415,19/06/2007,Other,ecf.ui,unknown,2,low,Software Developer,Standard queue,0.7253156331687182
COMMUNITY-257135,01/12/2008,COMMUNITY,CVS,unknown,2,low,Software Developer,Standard queue,0.5202210703775492
EQUINOX-383846,28/06/2012,EQUINOX,p2,unknown,3,low,Systems Developer,Same-day review,0.5768224699103625
Z_ARCHIVED-276607,16/05/2009,Z_ARCHIVED,TPTP,unknown,3,low,Systems Developer,Same-day review,0.7371775607405777
PDT-240578,13/07/2008,PDT,Outline Views,unknown,3,low,Systems Developer,Same-day review,0.46523313590570015
PDE-54949,16/03/2004,PDE,UI,unknown,3,low,Frontend Developer,Same-day review,0.6582608676922943
ORION-356327,31/08/2011,ORION,Client,unknown,2,low,Software Developer,Standard queue,0.6292110304316465
SAPPHIRE-419791,17/10/2013,Other,modeling,unknown,2,low,Software Developer,Standard queue,0.7340506300595593
CDT-234915,30/05/2008,CDT,cdt-core,unknown,2,low,Backend Developer,Standard queue,0.6897628625240096
XWT-302132,08/02/2010,Other,Core,unknown,2,low,Backend Developer,Standard queue,0.6646946484716996
WTP_COMMON_TOOLS-116222,14/11/2005,Other,wst.common,unknown,2,low,Software Developer,Standard queue,0.8341542231481818
ECP-402032,28/02/2013,Other,Common,unknown,2,low,Software Developer,Standard queue,0.4866883053705252
